kabu_kota,indeks_kedalaman_kemiskinan_p1,indeks_keparahan_kemiskinan_p2,jum_penduduk_miskin,persen_penduduk_miskin,prop,indeks_pembangunan_gender,kabu_kota_lengkap,level_ppkm_sep_21
Bengkulu Tengah,1.25,0.25,10.79,9.3,RIAU,86.83,Kabupaten Bengkulu Tengah,
Kota Bengkulu,3.51,1.02,69.12,17.65,RIAU,95.67,Kota Bengkulu,
Lampung Barat,2.01,0.55,38.12,12.52,LAMPUNG,92.95,Kabupaten Lampung Barat,
Tanggamus,1.36,0.24,70.37,11.68,LAMPUNG,91.13,Kabupaten Tanggamus,
Lampung Selatan,2.52,0.6,143.33,14.08,LAMPUNG,89.6,Kabupaten Lampung Selatan,
Lampung Timur,2.5,0.64,153.57,14.62,LAMPUNG,88.83,Kabupaten Lampung Timur,
Lampung Tengah,1.63,0.33,152.28,11.82,LAMPUNG,89.87,Kabupaten Lampung Tengah,
Lampung Utara,2.88,0.69,119.35,19.3,LAMPUNG,89.46,Kabupaten Lampung Utara,
Way Kanan,1.9,0.39,58.41,12.9,LAMPUNG,88.19,Kabupaten Way Kanan,
Tulangbawang,1.24,0.26,42.43,9.33,LAMPUNG,89.31,Kabupaten Tulangbawang,
Pesawaran,2.18,0.48,66.04,14.76,LAMPUNG,87.2,Kabupaten Pesawaran,
Pringsewu,1.2,0.21,40.12,9.97,LAMPUNG,92.33,Kabupaten Pringsewu,
Mesuji,0.88,0.19,14.72,7.33,LAMPUNG,84.17,Kabupaten Mesuji,
Tulang Bawang Barat,0.92,0.18,20.29,7.39,LAMPUNG,88.56,Kabupaten Tulang Bawang Barat,
Pesisir Barat,1.8,0.35,22.24,14.29,LAMPUNG,93.21,Kabupaten Pesisir Barat,
Kota Bandar Lampung,1.61,0.45,93.74,8.81,LAMPUNG,93.86,Kota Bandar Lampung,
Kota Metro,0.94,0.16,14.31,8.47,LAMPUNG,95.55,Kota Metro,
Bangka,0.47,0.09,15.41,4.51,KEP. BANGKA BELITUNG,88.48,Kabupaten Bangka,
Belitung,0.74,0.16,12.07,6.27,KEP. BANGKA BELITUNG,88.28,Kabupaten Belitung,
Bangka Barat,0.23,0.04,5.83,2.7,KEP. BANGKA BELITUNG,90.03,Kabupaten Bangka Barat,
Bangka Tengah,0.72,0.14,9.64,4.85,KEP. BANGKA BELITUNG,91.49,Kabupaten Bangka Tengah,
Bangka Selatan,0.53,0.13,7.49,3.52,KEP. BANGKA BELITUNG,83.81,Kabupaten Bangka Selatan,
Belitung Timur,0.7,0.19,8.56,6.52,KEP. BANGKA BELITUNG,86.37,Kabupaten Belitung Timur,
Kota Pangkal Pinang,0.6,0.12,9.4,4.36,KEP. BANGKA BELITUNG,93.16,Kota Pangkal Pinang,
Karimun,0.59,0.08,15.99,6.83,KEPULAUAN RIAU,91.25,Kabupaten Karimun,
Bintan,0.81,0.17,10.21,6.36,KEPULAUAN RIAU,93.12,Kabupaten Bintan,
Natuna,0.4,0.05,3.47,4.43,KEPULAUAN RIAU,91.67,Kabupaten Natuna,
Lingga,2.32,0.58,12.45,13.85,KEPULAUAN RIAU,89.25,Kabupaten Lingga,
Kepulauan Anambas,0.96,0.2,2.8,6.56,KEPULAUAN RIAU,90.27,Kabupaten Kepulauan Anambas,
Kota Batam,0.7,0.2,67.06,4.75,KEPULAUAN RIAU,94.43,Kota Batam,
Kota Tanjung Pinang,1.58,0.4,19.98,9.37,KEPULAUAN RIAU,96.79,Kota Tanjung Pinang,
Kepulauan Seribu,2.1,0.42,3.63,14.87,DKI JAKARTA,93.39,Kabupaten Kepulauan Seribu,L3
Kota Jakarta Selatan,0.47,0.1,78.09,3.43,DKI JAKARTA,96.14,Kota Jakarta Selatan,L3
Kota Jakarta Timur,0.35,0.05,122.73,4.16,DKI JAKARTA,95.48,Kota Jakarta Timur,L3
Kota Jakarta Pusat,0.6,0.15,41.92,4.51,DKI JAKARTA,96.0,Kota Jakarta Pusat,L3
