,,,,
Nama Wilayah,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,Jumlah Penduduk Miskin Kab/Kota (Ribu Orang),Persentase Penduduk Miskin Menurut Kabupaten/Kota (Persen)
Purbalingga,2.32,0.44,149.48,15.90
Banjarnegara,2.47,0.51,144.95,15.64
Kebumen,2.62,0.55,211.09,17.59
Purworejo,0.98,0.12,84.79,11.78
Wonosobo,2.43,0.47,137.64,17.36
Magelang,1.23,0.20,146.34,11.27
Boyolali,1.30,0.23,100.59,10.18
Klaten,1.66,0.31,151.83,12.89
Sukoharjo,0.97,0.21,68.89,7.68
Wonogiri,1.08,0.18,104.37,10.86
Karanganyar,1.56,0.33,91.72,10.28
Sragen,2.18,0.53,119.38,13.38
Grobogan,1.17,0.18,172.26,12.46
Blora,1.39,0.21,103.73,11.96
Rembang,2.44,0.53,100.08,15.60
Pati,1.37,0.26,127.37,10.08
Kudus,1.01,0.18,64.24,7.31
Jepara,0.60,0.07,91.14,7.17
Demak,1.97,0.50,146.87,12.54
Semarang,0.96,0.16,79.88,7.51
Temanggung,0.86,0.11,77.33,9.96
Kendal,1.37,0.25,97.49,9.99
Batang,1.43,0.32,70.57,9.13
Pekalongan,1.42,0.29,91.86,10.19
Pemalang,2.86,0.68,209.03,16.02
Tegal,1.08,0.19,117.50,8.14
Brebes,3.01,0.67,308.78,17.03
Kota Magelang,1.12,0.24,9.27,7.58
Kota Surakarta,1.51,0.38,47.03,9.03
Kota Salatiga,0.53,0.08,9.69,4.94
Kota Semarang,0.68,0.16,79.58,4.34
Kota Pekalongan,1.28,0.30,22.16,7.17
Kota Tegal,1.38,0.36,19.55,7.80
D I YOGYAKARTA,1.94,0.46,475.72,12.28
Kulon Progo,3.22,0.86,78.06,18.01
Bantul,1.85,0.43,138.66,13.50
Gunung Kidul,2.68,0.63,127.61,17.07
Sleman,1.37,0.33,99.78,8.12
Kota Yogyakarta,1.19,0.28,31.62,7.27
JAWA TIMUR,1.82,0.43,4419.10,11.09
Pacitan,2.68,0.71,80.82,14.54
Ponorogo,1.44,0.31,86.74,9.95
Trenggalek,1.48,0.31,81.06,11.62
Tulungagung,0.72,0.11,76.40,7.33
Blitar,1.35,0.30,108.55,9.33
Kediri,1.55,0.33,179.93,11.40
Malang,1.37,0.30,265.56,10.15
Lumajang,1.14,0.21,102.60,9.83
Jember,1.42,0.31,247.99,10.09
Banyuwangi,1.30,0.30,130.37,8.06
Bondowoso,2.16,0.50,110.24,14.17
Situbondo,1.91,0.47,83.74,12.22
Probolinggo,3.12,0.78,218.35,18.61
